"_key",templateName,thresholdDuration,thresholdIndex,thresholdMessage,thresholdMetric,thresholdSeverityCode,thresholdType,thresholdValue
60ca268ab24da969131307b0,"Template FORTINET",10,"","CPU acima de %thresholdValue%% por mais de 10 minutos",cpu,4,">",50
60ca268ab24da969131307b1,"Template FORTINET",10,"","Memoria acima de %thresholdValue%% por mais de 10 minutos",mem,4,">",50
60ca268ab24da969131307b2,"Template FORTINET",10,"","Disco acima de %thresholdValue%% por mais de 10 minutos",disk,4,">",50
60ca268bb24da969131307b3,"Template FORTINET",10,wan,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268bb24da969131307b4,"Template FORTINET",10,"vpn-033-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268bb24da969131307b5,"Template FORTINET",10,"vpn-033-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268bb24da969131307b6,"Template FORTINET",10,"vpn-033-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268bb24da969131307b7,"Template FORTINET",10,"vpn-033-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268cb24da969131307b8,"Template FORTINET",10,"vpn-033-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268cb24da969131307b9,"Template FORTINET",10,"vpn-033-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268cb24da969131307ba,"Template FORTINET",10,lan3,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268cb24da969131307bb,"Template FORTINET",10,VPNIW1O2,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268db24da969131307bc,"Template FORTINET",10,VPNIW1O1,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268db24da969131307bd,"Template FORTINET",10,"VPN-MPLS3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268db24da969131307be,"Template FORTINET",10,"VPN-MPLS2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268db24da969131307bf,"Template FORTINET",10,"VPN-MPLS1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268db24da969131307c0,"Template FORTINET",10,"VPN-L2L-MIRO","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268db24da969131307c1,"Template FORTINET",10,"Link-Wan-1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268eb24da969131307c2,"Template FORTINET",10,"vpn-010-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268eb24da969131307c3,"Template FORTINET",10,"vpn-010-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268eb24da969131307c4,"Template FORTINET",10,"vpn-010-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca268eb24da969131307c5,"Template FORTINET",10,"vpn-010-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
