metric,edgeId,linkId,solucao,interface,"alert_close_time","alert_time",id,impact,"last_alert_event",message,priority,status,triggers,update,urgency
latency,1543,4487,null,GE3,,1631882703,7b7a884b5f7914129bfafc2c20dc706e,performance,,"A Latência da interface GE3 excedeu o valor de 100",informational,OPEN,,1631907780,low
linkState,1930,5208,202183874,GE4,,1631882703,da155ff327b34acad272f4e85c243612,high,,"Link GE4 entrou em status DISCONNECTED",high,OPEN,,1631907780,high
"packet_loss_percent",939,3338,202041335,GE3,,1631882703,4e0f4d9436abae98ee6f2a0d4d7b590e,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,OPEN,,1631907780,low
"packet_loss_percent",928,3431,202041324,GE4,1631918402,1631900403,0b2b4a6b5597e7b845620efdbbaa40d8,performance,3,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,1,1631907780,low
linkState,992,2185,202041375,GE4,1631908803,1631905804,19807eaea0b6946398db92f40c526604,high,3,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,1,1631907780,high
linkState,1572,4560,202062000,GE4,1631906402,1631905804,a467e0c3d1761bb0c13af0035dabc294,high,3,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,1,1631906280,high
status,939,3331,202041335,GE4,1631906402,1631905804,00595f99d6f7919a3b11fe40e6f85e41,high,3,"Edge 939 entrou em status DEGRADED",high,CLOSED,1,1631906280,high
status,939,3338,202041335,GE3,1631906402,1631905804,0742b3f0952cdf0287dba07c6c726ab5,high,3,"Edge 939 entrou em status DEGRADED",high,CLOSED,1,1631906280,high
linkState,917,2318,202040643,GE4,1631906103,1631905503,46eb5e23eefbdae4f7704a30be566cba,high,3,"Link GE4 entrou em status UNSTABLE",high,CLOSED,1,1631905980,high
"packet_loss_percent",968,2225,202040664,GE4,1631905503,1631893203,4f25e7e5879013eaf9ebe10faa1ea45c,performance,3,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,1,1631905080,low
status,939,3331,202041335,GE4,1631904604,1631895304,96f525783605c32914c5a8d62c2fe0fd,high,,"Edge 939 entrou em status DEGRADED",high,CLOSED,0,1631900280,high
status,939,3338,202041335,GE3,1631904604,1631895304,e0d34720f2369e67593a2f7acdd7df76,high,,"Edge 939 entrou em status DEGRADED",high,CLOSED,0,1631900280,high
"packet_loss_percent",984,2221,202041367,GE4,1631889903,1631882703,c952d4a7902884aabaa825695c2f2984,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,1631889780,low
linkState,424,1031,20197447,GE4,1631885703,1631885104,c324dae374ce020742b4d753be473aaf,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,424,1031,20197447,GE4,1631885404,1631885104,c324dae374ce020742b4d753be473aaf,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1273,3214,202040637,GE4,1631884803,1631884202,417c512f83cd85841bb89517062644d6,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,978,3207,202041364,GE4,1631884803,1631884202,37165b3ade276a9bb6bdbc2960bc2081,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,1273,3214,202040637,GE4,1631884504,1631883602,2ea48bb7ac44675d3a4f47556d8ae51c,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,978,3207,202041364,GE4,1631884504,1631884202,37165b3ade276a9bb6bdbc2960bc2081,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,1273,3214,202040637,GE4,1631883903,1631883602,2ea48bb7ac44675d3a4f47556d8ae51c,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
"packet_loss_percent",502,1137,201912648,GE3,1631883602,1631882703,30303e0c3b90c9420081e5c078a5dcd1,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
latency,969,,202040665,GE3,1631882104,1631880004,08ff0f4b2b8ad8d13b8b839db980b709,performance,,"A Latência da interface GE3 excedeu o valor de 100",informational,CLOSED,,,low
linkState,379,,20197448,GE4,1631882104,1631881803,30b6d92857b0039ec02f8fc14d81dbe3,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,1567,,202061990,GE3,1631879703,1631878503,71a472ab5727c7ee41899fe9a008dcb5,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
status,1567,,202061990,GE3,1631879403,1631878203,883e92253efc5e037dbaa39c65a3f89b,high,,"Edge 1567 entrou em status OFFLINE",high,CLOSED,,,high
linkState,1566,,202162228,GE4,1631878503,1631834104,dcb15fb341f349119c6f6ebe47f90fe5,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
status,1566,,202162228,GE4,1631878503,1631834104,b587ae3a1826edc539e07e67d34a8ffe,high,,"Edge 1566 entrou em status OFFLINE",high,CLOSED,,,high
linkState,433,,20197420,GE4,1631878203,1631876703,d446686ef8aac89ede410b61ab4ca4f6,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,433,,20197420,GE3,1631877903,1631876703,e3c70334923cccdd83db7008ee22ee43,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
status,433,,20197420,GE3,1631877903,1631876403,8a48ddc3cbe3b0d2297b1746a53cf3bc,high,,"Edge 433 entrou em status OFFLINE",high,CLOSED,,,high
