CLIENTE,CONEXAO,EDGEID,FORNECEDOR,"FUNCAO_INTERFACE",HOSTNAME,IDHOST,IDINT,INTERFACE,"IP_GERENCIAMENTO","IP_IP2",MODELO,"NOME_CLIENTE","NOME_FANTASIA","NOME_LOCALIDADE_MERAKI",PRIMEID,SERIAL,"SIGLA_CIENTE","SOLUCAO_ID","TIPO_EQUIPAMENTO",TOKEN,URL,USER,timeInputLookupBdi
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-CO-0019914-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-TKMP-9ZNE.mera.boti",192907,5367663,lan1,,"10.207.154.36",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-CO-00","BOTI#19914-00#00","Q2PD-TKMP-9ZNE",BOTI,201864157,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-CO-0019914-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-WH3K-K22Z.mera.boti",194787,5370850,wan1,,"192.168.1.2",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-CO-00","BOTI#19914-00#00","Q2QN-WH3K-K22Z",BOTI,201864157,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-CO-0019914-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-WH3K-K22Z.mera.boti",194787,5370851,wan2,,"10.0.0.147",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-CO-00","BOTI#19914-00#00","Q2QN-WH3K-K22Z",BOTI,201864157,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< jbo/ip/02659 (bld 4mb) > % #B-LJ-AB-0019913-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-3TMB-5MAD.mera.boti",186691,5358760,wan1,,"200.253.229.86",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19913-00#00","Q2KN-3TMB-5MAD",BOTI,201864156,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 860743033906268 (4g) > % #B-LJ-AB-0019913-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-3TMB-5MAD.mera.boti",186691,5358761,wan2,,"10.1.1.103",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19913-00#00","Q2KN-3TMB-5MAD",BOTI,201864156,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019913-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-6K9K-EK73.mera.boti",190338,5365111,lan1,,"10.207.165.12",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19913-00#00","Q2PD-6K9K-EK73",BOTI,201864156,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< rce/ip/19375 (bld)  4mb > % #B-LJ-AB-0019912-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-67Z8-P7GP.mera.boti",187109,5359533,wan1,,"200.249.111.238",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19912-00#00","Q2KN-67Z8-P7GP",BOTI,201864155,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11989990417 (4g) > % #B-LJ-AB-0019912-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-67Z8-P7GP.mera.boti",187109,5359534,wan2,,"192.168.0.154",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19912-00#00","Q2KN-67Z8-P7GP",BOTI,201864155,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019912-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2CX-8CCB-KQCK.mera.boti",186170,5358159,lan1,,"10.199.159.215","MS120-8FP","O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19912-00#00","Q2CX-8CCB-KQCK",BOTI,201864155,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019912-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-389L-YYDH.mera.boti",190190,5364963,lan1,,"10.207.159.199",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19912-00#00","Q2PD-389L-YYDH",BOTI,201864155,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
