Cidade,Cliente,ClienteId,CodigoPrimesys,Description,Estado,Location,Operadora,PrimeId,SerialName,Servico,Solucao,Tecnologia,TipoNegocio,TipoServico
Campinas,CLARO S.A.,52853.0000000,CLARO,,SP,,Telefonica Brasil S. A.,CLAR#DC_CAS-01#00,,LOJA,20104569,VELOCLOUD,DADOS,DADOS
SAO PAULO,PRIMESYS SOLUÇÕES EMPRESARIAIS S/A,54736.0000000,PSYS,,SP,,,PSYS#SP,,GRC 1,201111333,VELOCLOUD,,
SAO PAULO,CLARO S.A.,53998.0000000,CLARO,,SP,,Telefonica Brasil S. A.,CLAR#POMPEIA-01#00,,PROJETO CLARO,20116056,VELOCLOUD,DADOS,DADOS
SAO PAULO,CLARO S.A.,54032.0000000,CLARO,,SP,,VIVAX S.A,CLAR#WEST_PLAZA-01#00,,PROJETO CLARO,20116138,VELOCLOUD,DADOS,DADOS
OSASCO,CLARO S.A.,54028.0000000,CLARO,,SP,,Telefonica Brasil S. A.,CLAR#OSASCO-01#00,,PROJETO CLARO,20116141,VELOCLOUD,DADOS,DADOS
Cascavel,PACAEMBU AUTOPECAS LTDA,107148.0000000,PCBU,pacaembu-csc-fw-029,PR,PACAEMBU CSC | 201744379,,PCBU#BLD-FORT-CSC#00,pacaembu-csc-fw-029,BSN,201744379,FORTINET,FILIAIS,SEM CONTINGENCIA
POUSO ALEGRE,PACAEMBU AUTOPEÇAS LTDA,107937.0000000,PCBU,pacaembu-psa-fw-031,MG,PACAEMBU PSA | 201746280,,PCBU#BLD-FORT-POUSO_ALEGRE#00,pacaembu-psa-fw-031,BSN,201746280,FORTINET,FILIAIS,SEM CONTINGENCIA
MARINGA,PACAEMBU AUTOPECAS LTDA,107938.0000000,PCBU,pacaembu-mga-fw-030,PR,PACAEMBU MGA | 201746281,,PCBU#BLD-FORT-MARINGA#00,pacaembu-mga-fw-030,BSN,201746281,FORTINET,FILIAIS,SEM CONTINGENCIA
Ribeirão Preto,PACAEMBU AUTOPEÇAS LTDA,108874.0000000,PCBU,pacaembu-rpo-fw-003,SP,PACAEMBU RPO | 201748891,,PCBU#BLD-FORT-RPO#00,pacaembu-rpo-fw-003,BSN,201748891,FORTINET,FILIAIS,SEM CONTINGENCIA
SAO JOSE DO RIO PRETO,PACAEMBU AUTOPEÇAS LTDA,108875.0000000,PCBU,pacaembu-srr-fw-004,SP,PACAEMBU SRR | 201748895,,PCBU#BLD-FORT-SRR#00,pacaembu-srr-fw-004,BSN,201748895,FORTINET,FILIAIS,SEM CONTINGENCIA
CONTAGEM,PACAEMBU AUTOPEÇAS LTDA,108876.0000000,PCBU,pacaembu-cem-fw-005,MG,PACAEMBU CEM | 201749021,,PCBU#BLD-FORT-CEM#00,pacaembu-cem-fw-005,BSN,201749021,FORTINET,FILIAIS,SEM CONTINGENCIA
UBERLANDIA,PACAEMBU AUTOPEÇAS LTDA,108877.0000000,PCBU,pacaembu-ula-fw-006,MG,PACAEMBU ULA | 201749022,,PCBU#BLD-FORT-ULA#00,pacaembu-ula-fw-006,BSN,201749022,FORTINET,FILIAIS,SEM CONTINGENCIA
PORTO ALEGRE,PACAEMBU AUTOPEÇAS LTDA,108878.0000000,PCBU,pacaembu-pae-fw-009,RS,PACAEMBU PAE | 201749023,,PCBU#BLD-FORT-PAE#00,pacaembu-pae-fw-009,BSN,201749023,FORTINET,FILIAIS,SEM CONTINGENCIA
RIO DE JANEIRO,PACAEMBU AUTOPEÇAS LTDA,108879.0000000,PCBU,pacaembu-rjo-fw-010,RJ,PACAEMBU RJO | 201749025,,PCBU#BLD-FORT-RJO#00,pacaembu-rjo-fw-010,BSN,201749025,FORTINET,FILIAIS,SEM CONTINGENCIA
BRASILIA,PACAEMBU AUTOPEÇAS LTDA,108880.0000000,PCBU,pacaembu-gurx-fw-011,DF,PACAEMBU GURX | 201749026,,PCBU#BLD-FORT-GURX#00,pacaembu-gurx-fw-011,BSN,201749026,FORTINET,FILIAIS,SEM CONTINGENCIA
