" 1D",2D,3D,4D,5D,">5D",Cliente,TTs
98,60,64,95,49,68,"2 OFICIAL DE REGISTRO DE IMOVEIS TITULOS E DOCUMENTOS",44
37,92,23,96,25,69,"2RP NET - SERVICOS LTDA.",60
78,54,78,69,76,51,"7COMM INFORMATICA LTDA",42
97,68,78,90,69,31,"AB COMERCIO DE VEICULOS LTDA",45
15,32,36,73,41,77,"ABBC ASSOCIACAO BRASILEIRA DE BANCOS",22
62,42,12,68,35,92,"ACESSO SOLUCOES DE PAGAMENTO S A",10
33,52,68,44,90,56,"ACOTUBO INDUSTRIA E COMERCIO LTDA",16
68,18,17,16,74,33,"ADATEX S A INDUSTRIAL E COMERCIAL",39
51,90,38,50,95,84,"ADTALEM EDUCACIONAL DO BRASIL LTDA",84
10,24,25,56,25,47,"AGK CORRETORA DE CAMBIO S A",84
64,16,84,78,41,66,"AGRITAMA COMERCIO DE MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA",51
41,31,96,27,12,76,"AGUIA BRANCA PARTICIPACOES S A.",42
18,60,21,21,70,29,"ALEXANDRE N FERRAZ CICARELLI & PASSOLD ADVOGADOS ASSOCI",36
61,43,19,64,31,54,"ALGAR SOLUCOES EM TIC S A",41
70,31,81,45,85,15,"ALLEGRAN PRODUTOS FARMACÊUTICOS LTDA",29
49,81,98,98,33,78,"ALMAVIVA DO BRASIL TELEMARKETING E INFORMATICA S/A",69
95,98,37,69,36,80,"ALVORADA MOTOCICLETAS LTDA",58
52,34,42,68,77,71,"AMBAR ENERGIA LTDA",24
51,76,59,60,51,21,"ANIS RAZUK INDÚSTRIA E COMÉRCIO LTDA",26
84,68,49,65,93,97,"AP PONTO CONSTRUCAO E INCORPORACAO LTDA",72
29,95,44,42,87,78,"ARKEMA QUIMICA LTDA",16
84,55,16,31,32,63,"ARMINTER COMERCIO EXTERIOR LTDA EPP",62
92,52,16,31,65,42,"ASSOCIACAO CULTURAL E CIENTIFICA VIRVI RAMOS",15
96,47,27,69,28,42,"ASSOCIACAO NACIONAL DOS FUNCIONARIOS DO BANCO DO BRASIL",70
26,52,28,29,10,93,"ASSOCIAÇÃO DOS LOJISTAS DO SHOPPING CENTER DA BARRA",72
35,43,55,97,15,87,"ASSOCIAÇÃO DOS LOJISTAS DO SHOPPING VILLAGE MALL",68
15,87,78,39,12,53,"ATIVA DISTRIBUICAO E LOGISTICA LTDA",83
36,41,38,27,38,71,"ATOS BRASIL LTDA.",85
66,64,66,87,51,43,"AUSEC AUTOMAÇÃO E SEGURANÇA EIRELI",43
49,58,12,74,88,39,"AUTO AMERICANO S A DISTRIBUIDOR DE PECAS",50
89,33,21,24,78,24,"AUTO CENTER TUIUIU LTDA",54
26,12,68,42,15,33,"AUTTAR HUT PROCESSAMENTO DE DADOS LTDA.",65
28,59,99,11,92,68,"AVISTA S A CREDITO FINANCIAMENTO E INVESTIMENTO.",72
26,79,71,80,14,20,"AZUL LINHAS AEREAS BRASILEIRAS S.A.",77
57,17,90,96,87,66,"B&T ASSOCIADOS CORRETORA DE CAMBIO LTDA",24
79,14,88,50,32,38,"BANCO A J RENNER SA.",53
78,39,86,54,64,20,"BANCO ABN AMRO S.A",60
48,66,86,65,41,21,"BANCO AGIPLAN S.A.",41
94,45,98,32,69,52,"BANCO ALFA S.A.",59
25,83,29,13,36,35,"BANCO BARIGUI INVESTIMENTOS E FINANCIAMENTOS S/A",65
84,23,96,81,56,51,"BANCO BBM S/A",91
13,22,64,51,57,50,"BANCO BNP PARIBAS BRASIL S.A.",57
69,24,14,21,84,91,"BANCO BRACCE S.A.",32
42,92,99,17,26,31,"BANCO BS2 S.A.",29
42,81,65,65,21,32,"BANCO BTG PACTUAL S.A.",76
23,81,95,52,78,24,"BANCO C6 S.A.",11
15,74,72,30,26,51,"BANCO CARGILL SA",95
33,96,10,86,86,91,"BANCO CENTRAL DO BRASIL",60
35,88,87,35,94,22,"BANCO CITIBANK S A",84
14,14,65,27,77,48,"BANCO COOPERATIVO SICREDI S.A.",53
89,45,95,93,69,58,"BANCO CREDIT AGRICOLE BRASIL S.A.",26
30,44,87,89,44,73,"BANCO CREFISA S.A.",96
79,55,37,72,22,26,"BANCO CSF S A",94
94,85,67,54,77,21,"BANCO CSF S/A",92
44,32,79,67,81,87,"BANCO DA AMAZONIA SA",60
45,87,24,47,35,32,"BANCO DA CHINA BRASIL S.A",96
73,24,91,51,21,83,"BANCO DIGIO S.A.",15
31,96,79,83,78,92,"BANCO DO BRASIL S/A",49
16,84,73,42,53,78,"BANCO DO ESTADO DE SERGIPE S/A",22
93,70,73,47,42,91,"BANCO DO ESTADO DO RIO GRANDE DO SUL AS",13
12,81,37,29,74,51,"BANCO DO NORDESTE DO BRASIL SA",92
84,57,37,94,24,59,"BANCO DO NORDESTE DO BRASIL SA.",60
25,68,58,65,24,44,"BANCO FATOR S/A.",16
35,89,75,30,29,83,"BANCO FICSA S/A",23
23,15,52,30,60,39,"BANCO IBI S.A. - BANCO MULTIPLO",72
98,81,25,73,48,85,"BANCO INBURSA DE INVESTIMENTO SA",43
94,94,27,69,98,20,"BANCO INDUSVAL S/A",40
77,95,95,51,42,64,"BANCO INTER S.A.",79
12,53,73,18,95,23,"BANCO INTERMEDIUM SA",70
80,71,52,31,71,59,"BANCO J. SAFRA S.A.",84
31,10,97,28,51,45,"BANCO LUSO BRASILEIRO S/A",74
53,20,23,96,26,74,"BANCO MAXIMA S.A.",24
69,67,97,22,41,36,"BANCO MIZUHO DO BRASIL S.A.",38
33,89,66,64,65,83,"BANCO NACIONAL DE DESENVOLVIMENTO ECONÔMICO E SOCIAL  BNDES",76
12,55,60,10,50,45,"BANCO ORIGINAL S/A",91
29,41,72,70,57,12,"BANCO OURINVEST S/A",98
78,74,36,28,72,55,"BANCO PAN S.A.",13
42,15,42,81,56,27,"BANCO PAULISTA S.A.",33
78,38,51,33,60,82,"BANCO PECUNIA S/A",42
12,90,11,81,54,31,"BANCO PINE S/A",76
88,74,41,14,20,16,"BANCO RABOBANK INTERNATIONAL BRASIL S A",75
85,78,89,47,99,73,"BANCO SAFRA S A",77
50,49,24,39,71,60,"BANCO SANTANDER BRASIL S/A",61
12,64,60,23,56,11,"BANCO SOFISA S/A",51
30,74,53,80,26,19,"BANCO SUMITOMO MITSUI BRASILEIRO S A",48
43,60,96,95,33,64,"BANCO VOTORANTIM S.A.",50
51,56,33,73,62,33,"BANCO WOORI BANK DO BRASIL",75
42,27,48,52,28,48,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO",58
98,30,65,52,55,66,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO.",98
76,99,61,45,77,36,"BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.",68
79,53,52,57,85,92,"BASE SISTEMA SERVICOS DE ADMINISTRACAO E COMERCIO EIRELI",51
69,71,49,96,63,70,"BBN BANCO BRASILEIRO DE NEGOCIOS S.A.",37
19,81,77,38,94,42,"BEXS BANCO DE CAMBIO S/A",51
60,49,92,47,40,61,"BICALHO MOLLICA MUNDIM ADVOGADOS",35
43,54,53,66,20,51,"BLUEPEX CONTROLE E SEGURANCA EM TI S A",33
32,96,98,23,88,67,"BM&F BOVESPA S.A. - BOLSA DE VALORES, MERCADORIAS E FUTUROS",33
15,40,59,28,41,69,"BNY MELLON BANCO S.A.",33
32,42,72,42,76,87,"BOA VISTA SERVICOS S.A",42
75,84,28,25,96,92,"BR PARTNERS INVESTIMENTOS E NOVOS NEGOCIOS LTDA.",63
86,54,10,97,18,63,"BRASIGRAN BRASILEIRA DE GRANITOS LTDA",54
37,42,63,23,78,35,"BRASIL PRE PAGOS ADMINISTRADORA DE CARTOES S A",97
96,50,17,81,79,20,"BRASILSEG COMPANHIA DE SEGUROS",30
95,96,69,78,32,69,"BRAZUL TRANSPORTE DE VEICULOS LTDA",72
88,44,31,35,17,83,"BRB BANCO DE BRASILIA S/A",33
33,11,26,36,17,44,"BRINK S E-PAGO TECNOLOGIA LTDA",34
64,53,26,78,44,38,"BS2 DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.",55
51,32,43,15,92,26,"BSA BRASIL COMERCIO E SERVICOS DE INFORMATICA LTDA",74
16,73,38,68,24,66,"BUNZL EQUIPAMENTOS PARA PROTECAO INDIVIDUAL LTDA",99
75,91,88,15,87,70,"BV FINANCEIRA SA CREDITO FINANCIAMENTO E INVESTIMENTO",43
17,88,50,51,79,26,"C & M SOFTWARE LTDA",24
81,54,62,64,49,91,"C A MODAS LTDA",95
92,41,93,78,26,70,"C&A MODAS LTDA.",54
73,81,51,31,87,24,"CA COMUNICAÇÃO E ASSESSORIA S S LTDA",98
65,38,24,24,91,72,"CAIXA ECONOMICA FEDERAL",91
31,46,62,76,87,24,"CALÇADOS FERRACINI LTDA",38
42,27,20,50,29,33,"CAMARA INTERBANCARIA DE PAGAMENTOS - CIP",17
16,33,73,57,31,16,"CAPGEMINI BRASIL S/A.",60
42,90,55,34,65,89,"CAPTA TECNOLOGIA EM SISTEMAS LTDA EPP",38
28,33,71,92,41,30,"CAROLINA IMPORTACAO E EXPORTACAO LTDA ME",97
87,40,68,96,39,51,"CARREFOUR COMERCIO E INDUSTRIA LTDA",20
97,87,15,21,12,39,"CARREFOUR COMERCIO E INDUSTRIA LTDA.",52
12,68,14,55,84,64,"CARTOS SCMEPP LTDA",19
39,70,87,19,74,87,"CASIO BRASIL COMERCIO DE PRODUTOS ELETRONICOS LTDA",55
98,65,18,60,33,25,"CENTRO DE ENSINO SUPERIOR SANTA FÉ EIRELI",96
82,95,47,73,10,98,"CERAMICA CARMELO FIOR LTDA",26
76,57,71,63,86,22,"CETIP S.A. - BALCAO ORGANIZADO DE ATIVOS E DERIVATIVOS",53
88,73,34,15,90,69,"CHAIN SERVICOS E CONTACT CENTER S.A.",26
83,66,57,78,53,96,"CHAMPION FARMOQUIMICO LTDA",11
52,26,26,96,43,85,"CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A",78
88,72,79,54,48,81,"CI&T SOFTWARE S/A",20
74,15,42,71,57,94,"CIELO S.A.",20
58,48,46,30,68,60,"CK AMORIM COMERCIO DE ARTEFATOS DE METAIS LTDA",60
60,58,28,58,74,22,"CLARO S.A.",18
15,76,74,92,32,80,"CLARO S.A. BCP.",45
42,89,22,34,82,66,"CLINICA SANTA HELENA LTDA",49
92,89,87,33,34,99,"CLIVALE PROSAUDE IGUATEMI LTDA",65
60,15,12,57,48,15,"COGNIZANT SERVICOS DE TECNOLOGIA E SOFTWARE DO BRASIL",34
62,16,46,65,11,75,"COLEGIO BRASILEIRO DE CIRURGIOES",51
61,54,71,87,24,88,"COMERCIAL MILANO DO BRASIL LTDA",77
16,55,58,34,83,68,"COMETA CAMPO GRANDE COMERCIO DE MOTO LTDA",21
19,97,96,73,98,70,"COMMERZBANK BRASIL S.A. - BANCO MULTIPLO",57
51,21,78,55,28,70,"COMPANHIA BRASILEIRA DE CARTUCHOS",38
67,65,39,30,46,46,"COMPANHIA BRASILEIRA DE SOLUCOES E SERVICOS - ALELO",80
57,28,54,29,22,73,"COMPANHIA CAPITAL DE PRODUTOS ALIMENTICIOS",61
35,15,87,77,12,63,"COMPANHIA TECIDOS SANTANENSE",92
80,87,95,24,32,78,"CONDOMINIO ALTO DA BOA VISTA",47
58,72,83,10,80,44,"CONDOMINIO CIVIL PRO INDIVISIO DO SHOPPING SANTA URSULA",72
81,86,65,14,90,60,"CONDOMINIO DO CENTRO EMPRESARIAL CHARLES DE GAULLE",57
91,71,59,43,44,40,"CONDOMINIO DO PARKSHOPPING",45
77,72,82,46,43,27,"CONDOMINIO DO PARKSHOPPING CAMPO GRANDE",27
83,11,35,38,59,62,"CONDOMINIO DO SHOPPING CENTER DE BELO HORIZINTE",62
88,55,64,64,32,59,"CONDOMINIO DO SHOPPING CENTER RIBEIRAO PRETO",86
91,50,78,11,34,13,"CONDOMINIO JARDIM ANALIA FRANCO",52
81,13,53,51,60,78,"CONDOMINIO PARKSHOPPING BARIGUI",63
35,67,29,39,77,31,"CONDOMINIO PORTO RETIRO",48
62,84,10,32,33,54,"CONDOMINIO SAVASSI",37
65,45,87,44,15,85,"CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED'S- UNICRED DO BRASIL",24
60,78,10,82,96,66,"CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA",66
24,51,44,66,82,62,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CONFESO",45
79,17,80,71,77,60,"CONSORCIO MTS BR",64
83,96,58,51,26,53,"CONSORCIO PARKSHOPPING CANOAS",96
65,85,10,65,69,24,"CONSORCIO SHOPPING SÃO CAETANO",87
92,83,22,28,54,37,"CONSORCIO SHOPPING VILA OLIMPIA",79
34,10,46,29,97,28,"CONSTRUDECOR S A",69
24,65,53,73,78,10,"CONSTRUTORA ETAM LTDA",21
60,44,74,57,57,12,"CONTEMINAS SA",64
47,58,28,88,79,30,"CONTEMP INDUSTRIA COMERCIO E SERVICOS LTDA",30
63,43,53,88,50,18,"COOP. CRED. MUTUO COOP. CRED. MUTUO DESP. TRANSITO DE SANTA CATARINA",53
57,84,97,14,11,52,"COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA",40
39,75,68,24,16,15,"COOPERATIVA CENTRAL DE CREDITO NOROESTE BRASILEIRO LTDA",90
