dobulkedit,doedit,doquickassign,doaction,incident_id,job_id,result_id,alert,host,Alerta,impact,urgency,search,event_search,earliest,latest,display_fields,alert_time,external_reference_id,duplicate_count,earliest_alert_time,first_seen,group,group_id,Empresa,Localidade,Endereco,Solucao,TipoServico,Ticket,Inicio,Fim,owner,status,status_description,Impacto
548cfd67-aff4-4c6d-811e-c44a59ef2028, , , ,548cfd67-aff4-4c6d-811e-c44a59ef2028,,,OPEN - GENERAL - V3,202062013,202062013 - Link GE4 entrou em status DISCONNECTED,medium,medium,,,,,,1637260804,,,,2021-11-18 15:40:04,,unknown,ICATU SEGUROS S.A,N/A,SP - São José do Rio Preto,202062013,SDWAN,Não,2021-11-18 15:40:04,,unassigned,new,Novo,Médio
c2278c2b-318f-470c-8d27-bfb2e879bab8, , , ,c2278c2b-318f-470c-8d27-bfb2e879bab8,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,brf-hort-dc-fw-1,brf-hort-dc-fw-1 - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637259902,,,,2021-11-18 15:25:02,,unknown,BRF S A,BRF DC ,SP - Hortolândia,202055619,SDE,Não,2021-11-18 15:25:02,,unassigned,new,Novo,Performance
f7d05c09-2ddd-4829-9d38-d5d11bbf2b1d, , , ,f7d05c09-2ddd-4829-9d38-d5d11bbf2b1d,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,greal-sdr-hafw-c,greal-sdr-hafw-c - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637259602,,,,2021-11-18 15:20:02,,unknown,REAL MOTO PECAS LTDA,SALVADOR ,BA - Salvador,202171310,DADOS,Não,2021-11-18 15:20:02,,unassigned,new,Novo,Performance
9e4f3c28-2155-4d49-b27e-322e744e332c, , , ,9e4f3c28-2155-4d49-b27e-322e744e332c,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,PR10-CAMPOS,PR10-CAMPOS - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637259602,,,,2021-11-18 15:20:02,,unknown,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,PR10-CAMPOS_CPS/IP/04984 ,RJ - Campos dos Goytacazes,202182019,FILIAL,Não,2021-11-18 15:20:02,,unassigned,new,Novo,Performance
1ab924c1-b5eb-4cfa-8100-1a0734eee249, , , ,1ab924c1-b5eb-4cfa-8100-1a0734eee249,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,brf-spo-fw-1,brf-spo-fw-1 - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637259601,,,,2021-11-18 15:20:01,,unknown,BRF S A,BRF MERCADO SPO ,SP - São Paulo,202055618,SDE,Não,2021-11-18 15:20:01,,unassigned,new,Novo,Performance
fb5fa335-cc5c-4196-9f0a-c159ed9a7a68, , , ,fb5fa335-cc5c-4196-9f0a-c159ed9a7a68,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-cta-fw-007,pacaembu-cta-fw-007 - A Latência da interface UOL - wan excedeu o valor do 100,performance,low,,,,,,1637259002,,,,2021-11-18 15:10:02,,unknown,PACAEMBU AUTOPEÇAS LTDA,PACAEMBU CTA ,PR - CURITIBA,201749055,SEM CONTINGENCIA,Não,2021-11-18 15:10:02,,unassigned,new,Novo,Performance
1bc5dc84-4134-4d10-91b4-dded5cc32f07, , , ,1bc5dc84-4134-4d10-91b4-dded5cc32f07,,,OPEN - GENERAL - V3,202062017,202062017 - A perda de pacotes da interface GE4 excedeu o valor de 1%,performance,low,,,,,,1637258702,,,,2021-11-18 15:05:02,,unknown,,N/A, - ,,,Não,2021-11-18 15:05:02,,unassigned,new,Novo,Performance
17370675-3ec5-4b29-8830-f29589470089, , , ,17370675-3ec5-4b29-8830-f29589470089,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-sdr-fw-012,pacaembu-sdr-fw-012 - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637258702,,,,2021-11-18 15:05:02,,unknown,PACAEMBU AUTOPEÇAS LTDA,PACAEMBU SDR ,BA - Salvador,201749027,SEM CONTINGENCIA,Não,2021-11-18 15:05:02,,unassigned,new,Novo,Performance
a4ef3ac3-851d-4209-adf4-cd79f916691c, , , ,a4ef3ac3-851d-4209-adf4-cd79f916691c,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-srr-fw-004,pacaembu-srr-fw-004 - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637257201,,,,2021-11-18 14:40:01,,unknown,PACAEMBU AUTOPEÇAS LTDA,PACAEMBU SRR ,SP - SAO JOSE DO RIO PRETO,201748895,SEM CONTINGENCIA,Não,2021-11-18 14:40:01,,unassigned,new,Novo,Performance
acbff7cf-aafc-476c-9309-1204beaae9cb, , , ,acbff7cf-aafc-476c-9309-1204beaae9cb,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-aiu-fw-015,pacaembu-aiu-fw-015 - A perda de pacotes da interface SLA_Matriz - vpn-015-w1-w1 excedeu o valor do 1%,performance,low,,,,,,1637256900,,,,2021-11-18 14:35:00,,unknown,PACAEMBU AUTOPEÇAS LTDA,PACAEMBU AIU ,PA - ANANINDEUA,201749033,SEM CONTINGENCIA,Não,2021-11-18 14:35:00,,unassigned,new,Novo,Performance
